"ID Respecto al contrato y los montos (Factura-Orden de compra-Contrato-Proveedor)","Fecha de Firma Del Contrato","Número O Referencia de Identificación Del Contrato","Objeto Del Contrato","Hipervínculo Al Contrato Firmado","Hipervínculo Al Convenio Modificatorio, en su Caso","Monto Total Del Contrato","Monto Pagado Al Periodo Publicado","Fecha de Inicio de Los Servicios Contratados","Fecha de Término de Los Servicios Contratados","Número de Factura","Hipervínculo a La Factura"
364-330-1-52,2017-08-23,OI-08-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,53174.40,53174.40,2017-08-23,2015-12-31,1488,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-08.F.1488.pdf
365-331-1-1,2017-08-11,OI-07-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,19268.76,19268.76,2017-08-11,2015-12-31,195237,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/1._OI-07.F.195237.VP.pdf
366-332-1-106,2017-06-01,OS-13-17,"Promedio de alcance ",,,25056.00,25056.00,2017-06-01,2015-12-31,72297,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-13.F.72297.pdf
367-333-1-74,2017-09-14,OS-27-17,"Promedio de alcance ",,,39049.08,39049.08,2017-09-14,2015-12-31,"1844 B",http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-27.F.1844.pdf
368-334-1-1,2017-12-04,OI-09-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,16008.00,16008.00,2017-12-04,2015-12-31,202247,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/2._OI-09.F.202247.VP.pdf
369-335-1-1,2017-12-04,OI-11-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,80753.40,80753.40,2017-12-04,2015-12-31,202246,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/3._OI-11.F.202246.VP.pdf
37-128-1-47,2015-07-16,"OS-09-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-07-16,2015-12-31,"805 A",
370-336-1-1,2017-12-04,OI-10-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,16008.00,16008.00,2017-12-04,2015-12-31,202245,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/4._OI-10.F.202245.VP.pdf
371-337-1-106,2017-06-01,OS-12-17,"Promedio de alcance ",,,17400.00,17400.00,2017-06-01,2015-12-31,72298,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-12.F.72298.pdf
376-338-1-47,2017-08-14,OS-24-17,"Disponibilidad del servicio",,,21610.80,21610.80,2017-08-14,2015-12-31,92,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-24.F.92.pdf
377-339-1-47,2017-07-10,OS-22-17,"Disponibilidad del servicio",,,28814.40,28814.40,2017-07-10,2015-12-31,90,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-22.F.90.pdf
378-340-1-47,2017-08-10,OS-23-17,"Disponibilidad del servicio",,,7203.60,7203.60,2017-08-10,2015-12-31,91,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-23.F.91.pdf
379-341-1-47,2017-08-21,OS-25-17,"Disponibilidad del servicio",,,7203.60,7203.60,2017-08-21,2015-12-31,93,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-25.F.93.pdf
38-121-1-47,2015-05-29,"OS-03-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-05-29,2015-12-31,807,
380-342-1-47,2017-09-04,OS-26-17,"Disponibilidad del servicio",,,14407.20,14407.20,2017-09-04,2015-12-31,94,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-26.F.94.pdf
381-343-1-47,2017-11-21,OS-28-17,"Disponibilidad del servicio",,,14407.20,14407.20,2017-11-21,2015-12-31,113,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-28.F.113.pdf
382-344-1-47,2017-11-30,OS-29-17,"Disponibilidad del servicio",,,21610.80,21610.80,2017-11-30,2015-12-31,120,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-29.F.120.pdf
384-345-1-74,2018-01-09,OS-01-18,"Promedio de alcance",,,81200.00,81200.00,2018-01-09,2015-12-31,2019,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-01.F.2019.pdf
385-346-1-56,2018-01-09,OS-04-18,"Promedio de alcance",,,53360.00,53360.00,2018-01-09,2015-12-31,192202,
386-347-1-52,2018-02-27,OI-02-18,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,52200.00,52200.00,2018-02-27,2015-12-31,1560,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-02.F.1560.pdf
387-348-1-119,2018-01-02,OI-01-18,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector.",,,53046.80,53046.80,2018-01-02,2015-12-31,1702,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-01.F.1702.VP.pdf
388-349-1-112,2018-01-09,OS-02-18,"Promedio de alcance: cantidad de personas que potencialmente pueden ser impactadas por la campaña.",,,52200.00,52200.00,2018-01-09,2015-12-31,601,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-02.F.601.VP.pdf
389-350-1-1,2018-01-09,OS-03-18,"Promedio de alcance: cantidad de personas que potencialmente pueden ser impactadas por la campaña.",,,99999.83,99999.83,2018-01-09,2015-12-31,208621,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-03.F.208621.VP.pdf
39-126-1-47,2015-06-10,"OS-06-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-06-10,2015-12-31,808,
390-351-1-52,2018-05-14,OI-04-18,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector.",,,52200.00,52200.00,2018-05-14,2015-12-31,1631,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-04.F.1631.VP.pdf
391-352-1-74,2018-04-04,OS-07-18,"Promedio de alcance: cantidad de personas que potencialmente pueden ser impactadas por la campaña.",,,44631.00,44631.00,2018-04-04,2015-12-31,2098,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-07.F.2098.VP.pdf
392-353-1-78,2018-04-04,OS-08-18,"Promedio de alcance: cantidad de personas que potencialmente pueden ser impactadas por la campaña.",,,20000.00,20000.00,2018-04-04,2015-12-31,864,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-08.F.864.VP.pdf
393-354-1-78,2018-05-24,OS-18-18,"Promedio de alcance: cantidad de personas que potencialmente pueden ser impactadas por la campaña.",,,29000.00,29000.00,2018-05-24,2015-12-31,907,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-18.F.907.VP.pdf
394-346-1-47,2018-01-09,OS-04-18,"Promedio de alcance",,,28814.40,28814.40,2018-01-09,2015-12-31,10137,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-05.F.10137.VP.pdf
395-356-1-47,2018-02-01,OS-06-18,"Promedio de alcance: cantidad de personas que potencialmente pueden ser impactadas por la campaña.",,,28814.40,28814.40,2018-02-01,2015-12-31,10138,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-06.F.10138.VP.pdf
40-152-1-47,2015-12-02,"OS-43-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-12-02,2015-12-31,809,
41-153-1-47,2015-12-17,"OS-44-15 INAI","Nombre  comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-12-17,2015-12-31,811,
42-44-1-57,2015-12-02,"OI-24-15 INAI","Nombre comercial del proveedor: Revista Emeequis
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,64994.80,64994.80,2015-12-02,2015-12-31,"895 A",
43-105-1-57,2015-12-10,"OI-86-15 INAI","Nombre comercial del proveedor: Revista Emeequis
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,59716.80,59716.80,2015-12-10,2015-12-31,896,
44-112-1-5,2015-12-11,"OI-93-15 INAI","Nombre comercial del proveedor: Publimetro
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,268153.59,268153.59,2015-12-11,2015-12-31,938,
46-131-1-74,2015-10-02,"OS-13-15 INAI","Nombre comercial del proveedor: http://www.sdpnoticias.com
Promedio de alcance  ",,,29000.00,29000.00,2015-10-02,2015-12-31,989,
47-134-1-74,2015-11-17,"OS-16-15 INAI","Nombre comercial del proveedor: http://www.sdpnoticias.com
Promedio de alcance ",,,29000.00,29000.00,2015-11-17,2015-12-31,1034,
48-29-1-59,2015-09-22,"OI-14-15 INAI","Nombre comercial del proveedor: Revista del Abogado
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,36540.00,36540.00,2015-09-22,2015-12-31,1036,
49-146-1-74,2015-12-11,"OS-37-15 INAI","Nombre comercial del proveedor: http://www.sdpnoticias.com
Promedio de alcance ",,,348000.00,348000.00,2015-12-11,2015-12-31,1070,
50-43-1-52,2015-11-13,"OI-23-15 INAI","Nombre comercial del proveedor: Revista Zócalo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,46400.00,46400.00,2015-11-13,2015-12-31,1078,
52-150-1-77,2015-12-11,"OS-41-15 INAI","Nombre comercial del proveedor: http://noticracia.com
Promedio de alcance",,,64687.40,64687.40,2015-12-11,2015-12-31,1264,
53-65-1-24,2015-12-02,"OI-46-15 INAI","Nombre comercial del proveedor: Diario de Colima
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,39569.18,39569.18,2015-12-02,2015-12-31,1293,
54-61-1-21,2015-12-02,"OI-42-15 INAI","Nombre comercial del proveedor: Crónica de Campeche
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,44791.22,44791.22,2015-12-02,2015-12-31,1593,
55-69-1-20,2015-12-02,"OI-50-15 INAI","Nombre comercial del proveedor: Criterio la Verdad Impresa
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,17077.12,17077.12,2015-12-02,2015-12-31,1598,
56-114-1-10,2015-12-11,"OI-95-15 INAI","Nombre comercial del proveedor: El Sol de Toluca
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,185290.02,185290.02,2015-12-11,2015-12-31,1977,
57-3-1-3,2015-05-19,"OI-01-15 INAI","Nombre comercial del proveedor: La Crónica
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,29232.00,29232.00,2015-05-19,2015-12-31,1987,
58-107-1-61,2015-12-10,"OI-88-15 INAI","Nombre comercial del proveedor: Revista Vértigo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,68715.96,68715.96,2015-12-10,2015-12-31,2045,
59-15-1-3,2015-06-20,"OI-07-15 INAI","Nombre comercial del proveedor: La Crónica
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,61267.72,61267.72,2015-06-20,2015-12-31,2374,
6-106-1-58,2015-12-10,"OI-87-15 INAI","Nombre comercial del proveedor: Revista el Contribuyente
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,92800.00,92800.00,2015-12-10,2015-12-31,124,
60-77-1-43,2015-12-02,"OI-58-15 INAI","Nombre comercial del proveedor: El Popular
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,34307.00,34307.00,2015-12-02,2015-12-31,2424,
61-88-1-67,2015-12-02,"OI-69-15 INAI","Nombre comercial del proveedor: Media Hora
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,24540.06,24540.06,2015-12-02,2015-12-31,2506,
62-73-1-68,2015-12-02,"OI-54-15 INAI","Nombre comercial del proveedor: Matutino Gráfico
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,27494.02,27494.02,2015-12-02,2015-12-31,2550,
63-46-1-39,2015-12-02,"OI-26-15 INAI","Nombre comercial del proveedor: El Mexicano Gran Diario Regional
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,71108.10,71108.10,2015-12-02,2015-12-31,2622,
64-60-1-39,2015-12-02,"OI-41-15 INAI","Nombre comercial del proveedor: La Segunda
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,34049.42,34049.42,2015-12-02,2015-12-31,2623,
66-115-1-3,2015-12-11,"OI-96-15 INAI","Nombre comercial del proveedor: La Crónica
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,238261.68,238261.68,2015-12-11,2015-12-31,3033,
67-8-1-46,2015-01-27,OI-04-15,"Nombre comercial del proveedor: Heraldo de Chihuahua
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,15919.96,15919.96,2015-01-27,2015-12-31,3119,
68-20-1-46,2015-01-27,OI-10-15,"Nombre comercial del proveedor: El Sol de Zacatecas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,6020.34,6020.34,2015-01-27,2015-12-31,3120,
69-22-1-46,2015-01-27,OI-11-15,"Nombre comercial del proveedor: El Sol de Morelia
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,6880.77,6880.77,2015-01-27,2015-12-31,3121,
7-149-1-76,2015-12-11,"OS-40-15 INAI","Nombre comercial del proveedor: http://sinembargo.mx
Promedio de alcance ",,,52861.20,52861.20,2015-12-11,2015-12-31,252,
70-24-1-46,2015-01-27,OI-12-15,"Nombre comercial del proveedor: El Sol de Puebla
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,5989.66,5989.66,2015-01-27,2015-12-31,3122,
71-26-1-46,2015-01-27,OI-13-15,"Nombre comercial del proveedor: El Sol de Tijuana
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,6880.77,6880.77,2015-01-27,2015-12-31,3123,
72-66-1-48,2015-12-02,"OI-47-15 INAI","Nombre comercial del proveedor: Victoria de Durango
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,34567.83,34567.83,2015-12-02,2015-12-31,3215,
73-89-1-9,2015-12-02,"OI-70-15 INAI","Nombre comercial del proveedor: La Razón
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,19801.96,19801.96,2015-12-02,2015-12-31,4827,
74-50-1-30,2015-12-02,"OI-30-15 INAI","Nombre comercial del proveedor: Diario Expresión de Chiapas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,34617.12,34617.12,2015-12-02,2015-12-31,5144,
75-85-1-62,2015-12-02,"OI-66-15 INAI","Nombre comercial del proveedor: Nuevo Día de Nogales
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,48694.28,48694.28,2015-12-02,2015-12-31,5452,
76-36-1-5,2015-04-29,OI-18-15,"Nombre comercial del proveedor: Publimetro
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,25543.20,25543.20,2015-04-29,2015-12-31,5640,
77-57-1-64,2015-12-02,"OI-37-15 INAI","Nombre comercial del proveedor: Noticias Diario Binacional Sin Fronteras
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,16160.02,16160.02,2015-12-02,2015-12-31,5669,
78-4-1-2,2015-01-23,OI-02-15,"Nombre comercial del proveedor: La Jornada
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,46235.28,46235.28,2015-01-23,2015-12-31,6041,
79-101-1-60,2015-12-10,"OI-82-15 INAI","Nombre comercial del proveedor: Revista Cambio
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,92800.00,92800.00,2015-12-10,2015-12-31,6350,
8-130-1-78,2015-09-30,"OS-12-15 INAI","Nombre comercial del proveedor: http://lasillarota.com
Promedio de alcance  ",,,60900.00,60900.00,2015-09-30,2015-12-31,283,
80-49-1-42,2015-12-02,"OI-29-15 INAI","Nombre comercial del proveedor: El Orbe
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,19585.44,19585.44,2015-12-02,2015-12-31,6368,
81-74-1-8,2015-12-02,"OI-55-15 INAI","Nombre comercial del proveedor: Meridiano de Nayarit
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,55317.14,55317.14,2015-12-02,2015-12-31,6702,
82-108-1-54,2015-12-11,"OI-89-15 INAI","Nombre comercial del proveedor: Revista TV Notas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,299000.00,299000.00,2015-12-11,2015-12-31,7142,
83-5-1-2,2015-05-22,"OI-02-15 INAI","Nombre comercial del proveedor: La Jornada
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,26816.46,26816.46,2015-05-22,2015-12-31,7317,
84-19-1-2,2015-06-22,"OI-09-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,92470.56,92470.56,2015-06-22,2015-12-31,8094,
85-25-1-2,2015-08-20,"OI-12-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,23117.64,23117.64,2015-08-20,2015-12-31,8162,
86-75-1-12,2015-12-02,"OI-56-15 INAI","Nombre comercial del proveedor: ABC Monterrey
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,78359.07,78359.07,2015-12-02,2015-12-31,8215,
87-33-1-2,2015-09-30,"OI-16-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,23117.64,23117.64,2015-09-30,2015-12-31,8962,
89-41-1-2,2015-11-13,"OI-21-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,46235.28,46235.28,2015-11-13,2015-12-31,9341,
9-132-1-75,2015-10-01,"OS-14-15 INAI","Nombre comercial del proveedor: http://www.animalpolitico.com
Promedio de alcance  ",,,70000.00,70000.00,2015-10-01,2015-12-31,296,
90-97-1-2,2015-12-03,"OI-78-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,46235.28,46235.28,2015-12-03,2015-12-31,9739,
91-100-1-2,2015-12-09,"OI-81-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,46235.28,46235.28,2015-12-09,2015-12-31,9740,
92-111-1-2,2015-12-11,"OI-92-15 INAI","Nombre comercial del proveedor: La Jornada
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,268164.62,268164.62,2015-12-11,2015-12-31,9757,
93-82-1-32,2015-12-02,"OI-63-15 INAI","Nombre comercial del proveedor: El Debate de Mazatlan
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,29959.50,29959.50,2015-12-02,2015-12-31,10116,
94-10-1-36,2015-01-27,OI-05-15,"Nombre comercial del proveedor: El Imparcial de Sonora
 
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,10561.85,10561.85,2015-01-27,2015-12-31,11129,
95-72-1-26,2015-12-02,"OI-53-15 INAI","Nombre comercial del proveedor: Diario de Morelos
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,94303.98,94303.98,2015-12-02,2015-12-31,12281,
96-32-1-4,2015-01-27,OI-16-15,"Nombre comercial del proveedor: Milenio Diario
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector ",,,10875.00,10875.00,2015-01-27,2015-12-31,12584,
97-154-1-6,2015-12-02,"OI-39-15 INAI","Nombre comercial del proveedor: El Bravo
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,28330.98,28330.98,2015-12-02,2015-12-31,13257,
98-58-1-66,2015-12-02,"OI-38-15 INAI","Nombre comercial del proveedor: Mercurio de Tamaulipas
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,36105.74,36105.74,2015-12-02,2015-12-31,14356,
99-86-1-44,2015-12-02,"OI-67-15 INAI","Nombre comercial del proveedor: El Presente Diario del Sureste
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,42531.98,42531.98,2015-12-02,2015-12-31,15347,
